ProviderId,status,CurrentRoundNumber,Round,RoundNumber,HomeTeam,HomeGoals,HomeBehinds,HomeScore,AwayTeam,AwayGoals,AwayBehinds,AwayScore,Venue,Location,State,Season,Date,Opposition,Match_id,RoundStatus
CD_M20230142108,CONCLUDED,28,Round 21,21,St Kilda,8.0,6.0,54.0,Carlton,10.0,13.0,73.0,Marvel Stadium,Melbourne,VIC,2023,2023-08-06,Carlton,10927.0,Past Round
CD_M20240142108,CONCLUDED,28,Round 21,21,West Coast,15.0,7.0,97.0,Gold Coast,13.0,9.0,87.0,Optus Stadium,Perth,WA,2024,2024-08-02,Gold Coast,11146.0,Past Round
CD_M20240142109,CONCLUDED,28,Round 21,21,Western Bulldogs,15.0,20.0,110.0,Melbourne,9.0,5.0,59.0,Marvel Stadium,Melbourne,VIC,2024,2024-08-02,Melbourne,11144.0,Past Round
CD_M20240142101,CONCLUDED,28,Round 21,21,Collingwood,12.0,12.0,84.0,Carlton,11.0,15.0,81.0,MCG,Melbourne,VIC,2024,2024-08-03,Carlton,11138.0,Past Round
CD_M20240142103,CONCLUDED,28,Round 21,21,Geelong,13.0,12.0,90.0,Adelaide,13.0,7.0,85.0,GMHBA Stadium,Geelong,VIC,2024,2024-08-03,Adelaide,11140.0,Past Round
CD_M20240142105,CONCLUDED,28,Round 21,21,North Melbourne,14.0,6.0,90.0,Richmond,10.0,17.0,77.0,Marvel Stadium,Melbourne,VIC,2024,2024-08-03,Richmond,11142.0,Past Round
CD_M20240142106,CONCLUDED,28,Round 21,21,Port Adelaide,22.0,16.0,148.0,Sydney,5.0,6.0,36.0,Adelaide Oval,Adelaide,SA,2024,2024-08-03,Sydney,11145.0,Past Round
CD_M20240142102,CONCLUDED,28,Round 21,21,Essendon,13.0,12.0,90.0,Fremantle,14.0,5.0,89.0,MCG,Melbourne,VIC,2024,2024-08-04,Fremantle,11139.0,Past Round
CD_M20240142104,CONCLUDED,28,Round 21,21,GWS,12.0,12.0,84.0,Hawthorn,12.0,10.0,82.0,Manuka Oval,Canberra,ACT,2024,2024-08-04,Hawthorn,11141.0,Past Round
CD_M20240142107,CONCLUDED,28,Round 21,21,St Kilda,5.0,9.0,39.0,Brisbane,19.0,10.0,124.0,Marvel Stadium,Melbourne,VIC,2024,2024-08-04,Brisbane,11143.0,Past Round
CD_M20250142105,CONCLUDED,28,Round 21,21,Western Bulldogs,19.0,18.0,132.0,GWS,6.0,8.0,44.0,Marvel Stadium,Melbourne,VIC,2025,2025-07-31,GWS,11361.0,Past Round
CD_M20250142101,CONCLUDED,28,Round 21,21,Adelaide,15.0,11.0,101.0,Hawthorn,13.0,9.0,87.0,Adelaide Oval,Adelaide,SA,2025,2025-08-01,Hawthorn,11365.0,Past Round
CD_M20250142104,CONCLUDED,28,Round 21,21,Melbourne,21.0,13.0,139.0,West Coast,8.0,8.0,56.0,Marvel Stadium,Melbourne,VIC,2025,2025-08-02,West Coast,11360.0,Past Round
CD_M20250142106,CONCLUDED,28,Round 21,21,Collingwood,10.0,5.0,65.0,Brisbane,14.0,8.0,92.0,MCG,Melbourne,VIC,2025,2025-08-02,Brisbane,11362.0,Past Round
CD_M20250142107,CONCLUDED,28,Round 21,21,Gold Coast,16.0,11.0,107.0,Richmond,2.0,11.0,23.0,People First Stadium,Gold Coast,QLD,2025,2025-08-02,Richmond,11363.0,Past Round
CD_M20250142109,CONCLUDED,28,Round 21,21,Sydney,9.0,14.0,68.0,Essendon,7.0,12.0,54.0,SCG,Sydney,NSW,2025,2025-08-02,Essendon,11364.0,Past Round
CD_M20250142102,CONCLUDED,28,Round 21,21,Geelong,23.0,15.0,153.0,Port Adelaide,9.0,11.0,65.0,GMHBA Stadium,Geelong,VIC,2025,2025-08-03,Port Adelaide,11358.0,Past Round
CD_M20250142103,CONCLUDED,28,Round 21,21,St Kilda,11.0,12.0,78.0,North Melbourne,10.0,9.0,69.0,Marvel Stadium,Melbourne,VIC,2025,2025-08-03,North Melbourne,11359.0,Past Round
CD_M20250142108,CONCLUDED,28,Round 21,21,Fremantle,15.0,4.0,94.0,Carlton,10.0,7.0,67.0,Optus Stadium,Perth,WA,2025,2025-08-03,Carlton,11366.0,Past Round
CD_M20260142102,SCHEDULED,19,Round 21,21,Collingwood,,,,Geelong,,,,MCG,Melbourne,VIC,2026,2026-07-30,,11578.0,Future Round
CD_M20260142104,SCHEDULED,19,Round 21,21,Fremantle,,,,Western Bulldogs,,,,Optus Stadium,Perth,WA,2026,2026-07-31,,11579.0,Future Round
CD_M20260142101,SCHEDULED,19,Round 21,21,Carlton,,,,Brisbane,,,,Marvel Stadium,Melbourne,VIC,2026,2026-08-01,,11580.0,Future Round
CD_M20260142106,SCHEDULED,19,Round 21,21,Hawthorn,,,,North Melbourne,,,,UTAS Stadium,Launceston,TAS,2026,2026-08-01,,11581.0,Future Round
CD_M20260142107,SCHEDULED,19,Round 21,21,Port Adelaide,,,,GWS,,,,Adelaide Oval,Adelaide,SA,2026,2026-08-01,,11582.0,Future Round
CD_M20260142109,SCHEDULED,19,Round 21,21,St Kilda,,,,Sydney,,,,Marvel Stadium,Melbourne,VIC,2026,2026-08-01,,11583.0,Future Round
CD_M20260142103,SCHEDULED,19,Round 21,21,Essendon,,,,Adelaide,,,,Marvel Stadium,Melbourne,VIC,2026,2026-08-02,,11584.0,Future Round
CD_M20260142105,SCHEDULED,19,Round 21,21,Gold Coast,,,,Melbourne,,,,People First Stadium,Gold Coast,QLD,2026,2026-08-02,,11585.0,Future Round
CD_M20260142108,SCHEDULED,19,Round 21,21,Richmond,,,,West Coast,,,,MCG,Melbourne,VIC,2026,2026-08-02,,11586.0,Future Round
CD_M20120142201,CONCLUDED,27,Round 22,22,Richmond,13.0,24.0,102.0,Essendon,8.0,9.0,57.0,MCG,Melbourne,VIC,2012,2012-08-24,Essendon,5523.0,Past Round
CD_M20120142202,CONCLUDED,27,Round 22,22,St Kilda,25.0,13.0,163.0,GWS,5.0,5.0,35.0,Marvel Stadium,Melbourne,VIC,2012,2012-08-25,GWS,5524.0,Past Round
CD_M20120142203,CONCLUDED,27,Round 22,22,Port Adelaide,14.0,9.0,93.0,Brisbane,16.0,8.0,104.0,AAMI Stadium,Adelaide,SA,2012,2012-08-25,Brisbane,5525.0,Past Round
CD_M20120142204,CONCLUDED,27,Round 22,22,Sydney,14.0,11.0,95.0,Hawthorn,15.0,12.0,102.0,SCG,Sydney,NSW,2012,2012-08-25,Hawthorn,5526.0,Past Round
CD_M20120142205,CONCLUDED,27,Round 22,22,West Coast,15.0,17.0,107.0,Collingwood,8.0,10.0,58.0,Domain Stadium,Perth,WA,2012,2012-08-25,Collingwood,5528.0,Past Round
CD_M20120142206,CONCLUDED,27,Round 22,22,Gold Coast,15.0,8.0,98.0,Carlton,11.0,20.0,86.0,People First Stadium,Gold Coast,QLD,2012,2012-08-25,Carlton,5527.0,Past Round
