Season,RoundNumber,HomeTeam,AwayTeam,CoachesVotes,Player,Team,Player_Cleaned_Name,Date,Match_id
2012,2,Collingwood,Richmond,1.0,Dane Swan,Collingwood,D_Swan,2012-04-07,5357
2012,2,Collingwood,Richmond,1.0,Dale Thomas,Collingwood,D_Thomas,2012-04-07,5357
2012,2,North Melbourne,GWS,10.0,Ryan Bastinac,North Melbourne,R_Bastinac,2012-04-08,5358
2012,2,North Melbourne,GWS,4.0,Liam Anthony,North Melbourne,L_Anthony,2012-04-08,5358
2012,2,North Melbourne,GWS,4.0,Brent Harvey,North Melbourne,B_Harvey,2012-04-08,5358
2012,2,North Melbourne,GWS,4.0,Michael Firrito,North Melbourne,M_Firrito,2012-04-08,5358
2012,2,North Melbourne,GWS,3.0,Aaron Edwards,North Melbourne,A_Edwards,2012-04-08,5358
2012,2,North Melbourne,GWS,3.0,Andrew Swallow,North Melbourne,A_Swallow,2012-04-08,5358
2012,2,North Melbourne,GWS,1.0,Leigh Adams,North Melbourne,L_Adams,2012-04-08,5358
2012,2,North Melbourne,GWS,1.0,Scott Thompson,North Melbourne,S_Thompson,2012-04-08,5358
2012,2,St Kilda,Gold Coast,8.0,Gary Ablett,Gold Coast,G_Ablett,2012-04-08,5359
2012,2,St Kilda,Gold Coast,8.0,Nick Riewoldt,St Kilda,N_Riewoldt,2012-04-08,5359
2012,2,St Kilda,Gold Coast,8.0,Brendon Goddard,St Kilda,B_Goddard,2012-04-08,5359
2012,2,St Kilda,Gold Coast,2.0,David Armitage,St Kilda,D_Armitage,2012-04-08,5359
2012,2,St Kilda,Gold Coast,2.0,Jack Steven,St Kilda,J_Steven,2012-04-08,5359
2012,2,St Kilda,Gold Coast,2.0,Lenny Hayes,St Kilda,L_Hayes,2012-04-08,5359
2012,2,Geelong,Hawthorn,10.0,Tom Hawkins,Geelong,T_Hawkins,2012-04-09,5360
2012,2,Geelong,Hawthorn,8.0,James Bartel,Geelong,J_Bartel,2012-04-09,5360
2012,2,Geelong,Hawthorn,5.0,Sam Mitchell,Hawthorn,S_Mitchell,2012-04-09,5360
2012,2,Geelong,Hawthorn,3.0,Joel Selwood,Geelong,J_Selwood,2012-04-09,5360
2012,2,Geelong,Hawthorn,2.0,James Podsiadly,Geelong,J_Podsiadly,2012-04-09,5360
2012,2,Geelong,Hawthorn,1.0,Cyril Rioli,Hawthorn,C_Rioli,2012-04-09,5360
2012,2,Geelong,Hawthorn,1.0,Brendan Whitecross,Hawthorn,B_Whitecross,2012-04-09,5360
2012,3,Carlton,Collingwood,9.0,Chris Judd,Carlton,C_Judd,2012-04-13,5361
2012,3,Carlton,Collingwood,6.0,Andrew Carrazzo,Carlton,A_Carrazzo,2012-04-13,5361
2012,3,Carlton,Collingwood,5.0,Marc Murphy,Carlton,M_Murphy,2012-04-13,5361
2012,3,Carlton,Collingwood,4.0,Heath Scotland,Carlton,H_Scotland,2012-04-13,5361
2012,3,Carlton,Collingwood,3.0,Matthew Kreuzer,Carlton,M_Kreuzer,2012-04-13,5361
2012,3,Carlton,Collingwood,2.0,Bryce Gibbs,Carlton,B_Gibbs,2012-04-13,5361
2012,3,Carlton,Collingwood,1.0,Eddie Betts,Carlton,E_Betts,2012-04-13,5361
2012,3,Port Adelaide,Sydney,10.0,Josh Kennedy,Sydney,J_Kennedy,2012-04-14,5363
2012,3,Port Adelaide,Sydney,7.0,Dan Hannebery,Sydney,D_Hannebery,2012-04-14,5363
2012,3,Port Adelaide,Sydney,5.0,Luke Parker,Sydney,L_Parker,2012-04-14,5363
2012,3,Port Adelaide,Sydney,3.0,Ted Richards,Sydney,T_Richards,2012-04-14,5363
2012,3,Port Adelaide,Sydney,2.0,Brad Ebert,Port Adelaide,B_Ebert,2012-04-14,5363
2012,3,Port Adelaide,Sydney,2.0,Justin Westhoff,Port Adelaide,J_Westhoff,2012-04-14,5363
2012,3,Port Adelaide,Sydney,1.0,Troy Chaplin,Port Adelaide,T_Chaplin,2012-04-14,5363
2012,3,Richmond,Melbourne,10.0,Shane Tuck,Richmond,S_Tuck,2012-04-14,5362
2012,3,Richmond,Melbourne,8.0,Shaun Grigg,Richmond,S_Grigg,2012-04-14,5362
2012,3,Richmond,Melbourne,5.0,Nathan Foley,Richmond,N_Foley,2012-04-14,5362
2012,3,Richmond,Melbourne,4.0,Reece Conca,Richmond,R_Conca,2012-04-14,5362
2012,3,Richmond,Melbourne,2.0,Jeremy Howe,Melbourne,J_Howe,2012-04-14,5362
2012,3,Richmond,Melbourne,1.0,Bachar Houli,Richmond,B_Houli,2012-04-14,5362
2012,3,Fremantle,Brisbane,6.0,Luke McPharlin,Fremantle,L_Mcpharlin,2012-04-14,5364
2012,3,Fremantle,Brisbane,6.0,Aaron Sandilands,Fremantle,A_Sandilands,2012-04-14,5364
2012,3,Fremantle,Brisbane,6.0,Tendai Mzungu,Fremantle,T_Mzungu,2012-04-14,5364
2012,3,Fremantle,Brisbane,5.0,Clancee Pearce,Fremantle,C_Pearce,2012-04-14,5364
2012,3,Fremantle,Brisbane,4.0,Paul Duffield,Fremantle,P_Duffield,2012-04-14,5364
2012,3,Fremantle,Brisbane,3.0,Joel Patfull,Brisbane,J_Patfull,2012-04-14,5364
2012,3,Gold Coast,Essendon,10.0,Gary Ablett,Gold Coast,G_Ablett,2012-04-14,5366
2012,3,Gold Coast,Essendon,7.0,Stewart Crameri,Essendon,S_Crameri,2012-04-14,5366
2012,3,Gold Coast,Essendon,5.0,Jobe Watson,Essendon,J_Watson,2012-04-14,5366
2012,3,Gold Coast,Essendon,3.0,Nathan Bock,Gold Coast,N_Bock,2012-04-14,5366
2012,3,Gold Coast,Essendon,2.0,Michael Hibberd,Essendon,M_Hibberd,2012-04-14,5366
2012,3,Gold Coast,Essendon,2.0,Sebastian Tape,Gold Coast,S_Tape,2012-04-14,5366
2012,3,Gold Coast,Essendon,1.0,Karmichael Hunt,Gold Coast,K_Hunt,2012-04-14,5366
2012,3,Western Bulldogs,St Kilda,10.0,Lenny Hayes,St Kilda,L_Hayes,2012-04-14,5365
